"YEAR","MONTH","UNIQUE_CARRIER","CARRIER","SDOM_GALLONS","NDOM_GALLONS","TDOMT_GALLONS","SDOM_COST","TS_COST","NDOM_COST","TDOMT_COST","TOTAL_COST"
2007,4,"MY","MY",0,0,0,0,2016995,0,0,2099881
2007,4,NA,NA,0,14475,14475,0,1080749,31122,31122,3623047
2007,4,"NC","NC",0,21132,425265,0,990254,49711,1072706,1072706
2007,4,"NK","NK",7969281,0,7969281,17290025,21226476,0,17290025,21226476
2007,4,"NW","NW",74256363,89680,74346043,152712709,259012932,192812,152905521,259205744
2007,4,"OH","OH",11787611,231255,12018866,24217421,24257876,475108,24692529,24732984
2007,4,"OO","OO",21937956,0,21937956,50459284,50459284,0,50459284,50459284
2007,4,"OW","OW",283470,0,283470,669607,2965487,0,669607,2965487
2007,4,"PCQ","PCQ",0,371481,371481,0,0,1073832,1073832,1334164
2007,4,"PO","PO",726538,222054,948592,1651602,19022977,500747,2152349,22262273
2007,4,"PRQ","PRQ",0,148953,148953,0,278076,299343,299343,2589644
2007,4,"QX","QX",4920230,50220,4970450,10877214,10984471,110954,10988168,11095425
2007,4,"RW","RW",4786521,0,4786521,9447357,9447357,0,9447357,9447357
2007,4,"S5","S5",4746916,0,4746916,10519082,10580613,0,10519082,10580613
2007,4,"SY","SY",2628692,27016,2655708,5919457,7247873,60677,5980134,7308550
2007,4,"TZ","TZ",4833734,882479,5716213,9926375,10457659,1825640,11752015,17258190
2007,4,"U5","U5",1158593,9103,1167696,2740159,6591352,22524,2762683,7244882
2007,4,"U7","U7",0,578389,578389,0,0,1181692,1181692,1205551
2007,4,"UA","UA",110332183,247521,110579704,205385103,359786205,455651,205840754,360511468
2007,4,"US","US",48935081,0,48935081,96403380,125625934,0,96403380,125625934
2007,4,"WE","WE",0,5912,5912,0,0,19578,19578,4087617
2007,4,"WN","WN",122193981,0,122193981,195009707,195009707,0,195009707,195009707
2007,4,"WO","WO",0,32279,32279,0,0,68127,68127,10172322
2007,4,"X9","X9",0,813652,813652,0,0,1220618,1220618,8591774
2007,4,"XE","XE",22395705,48617,22444322,16579406,18160679,131621,16711027,18292300
2007,4,"XJ","XJ",1514110,0,1514110,1264282,1264282,0,1264282,1264282
